title,id,release_date,vote_average,actors,director,composer,writer,producer
The Lion King,8587,1994-06-24,8.257,"['Matthew Broderick', 'Moira Kelly', 'Nathan Lane']",Roger Allers,Hans Zimmer,Linda Woolverton,Don Hahn
Oldboy,670,2003-11-21,8.3,"['Choi Min-sik', 'Yoo Ji-tae', 'Kang Hye-jung']",Park Chan-wook,Choi Seung-hyun,Hwang Jo-yoon,Syd Lim
Come and See,25237,1985-10-17,8.255,"['Aleksei Kravchenko', 'Olga Mironova', 'Liubomiras Laucevicius']",Elem Klimov,Oleg Yanchenko,Ales Adamovich,Stepan Tereshchenko
Clouds,630566,2020-10-09,8.252,"['Fin Argus', 'Sabrina Carpenter', 'Madison Iseman']",Justin Baldoni,Brian Tyler,Kara Holden,Justin Baldoni
TAYLOR SWIFT | THE ERAS TOUR,1160164,2023-10-13,8.256,"['Taylor Swift', 'Mike Meadows', 'Max Bernstein']",Sam Wrench,,,Taylor Swift
Life in a Year,447362,2020-11-27,8.25,"['Jaden Smith', 'Cara Delevingne', 'Cuba Gooding Jr.']",Mitja Okorn,Photek,,
Violet Evergarden: The Movie,533514,2020-09-18,8.246,"['Yui Ishikawa', 'Daisuke Namikawa', 'Takehito Koyasu']",Taichi Ishidate,Evan Call,Reiko Yoshida,Shinichiro Hatta
Five Feet Apart,527641,2019-03-14,8.246,"['Haley Lu Richardson', 'Cole Sprouse', 'Moisés Arias']",Justin Baldoni,Breton Vivian,,Justin Baldoni
"The Boy, the Mole, the Fox and the Horse",995133,2022-12-25,8.245,"['Jude Coward Nicoll', 'Tom Hollander', 'Idris Elba']",Charlie Mackesy,Isobel Waller-Bridge,,J.J. Abrams
Avengers: Endgame,299534,2019-04-24,8.245,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",Anthony Russo,Alan Silvestri,Stephen McFeely,Kevin Feige
Rascal Does Not Dream of a Dreaming Girl,572154,2019-06-15,8.243,"['Kaito Ishikawa', 'Asami Seto', 'Yurika Kubo']",Soichi Masui,,Masahiro Yokotani,Shuko Yokoyama
Klaus,508965,2019-11-08,8.243,"['Jason Schwartzman', 'J.K. Simmons', 'Rashida Jones']",Sergio Pablos,Alfonso G. Aguilar,Jim Mahoney,Gustavo Ferrada
Evangelion: 3.0+1.0 Thrice Upon a Time,283566,2021-03-08,8.2,"['Megumi Ogata', 'Yuko Miyamura', 'Maaya Sakamoto']",Kazuya Tsurumaki,Shiro Sagisu,Hideaki Anno,
Green Book,490132,2018-11-16,8.241,"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini']",Peter Farrelly,Kris Bowers,,Brian Hayes Currie
Avengers: Infinity War,299536,2018-04-25,8.241,"['Robert Downey Jr.', 'Chris Evans', 'Chris Hemsworth']",Joe Russo,Alan Silvestri,Stephen McFeely,Kevin Feige
Out of the Clear Blue Sky,654299,2019-12-24,8.239,"['Omar Chaparro', 'Ana Claudia Talancón', 'Stephanie Cayo']",Pepe Bojórquez,,Alfredo Felix-Diaz,
Mommy,265177,2014-09-19,8.236,"['Anne Dorval', 'Suzanne Clément', 'Antoine Olivier Pilon']",Xavier Dolan,Eduardo Noya Schreus,,Xavier Dolan
I Want to Eat Your Pancreas,504253,2018-09-01,8.234,"['Mahiro Takasugi', 'Lynn', 'Yukiyo Fujii']",Shinichiro Ushijima,Hiroko Sebu,Shinichiro Ushijima,Shinichiro Kashiwada
Wolf Children,110420,2012-07-21,8.225,"['Haru Kuroki', 'Yukito Nishii', 'Aoi Miyazaki']",Mamoru Hosoda,,Satoko Okudera,Takuya Ito
Il Sorpasso,24188,1962-12-05,8.225,"['Vittorio Gassman', 'Jean-Louis Trintignant', 'Catherine Spaak']",Dino Risi,Riz Ortolani,Ettore Scola,Mario Cecchi Gori
The Matrix,603,1999-03-31,8.2,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']",Lana Wachowski,Don Davis,,Joel Silver
Wolfwalkers,441130,2020-10-26,8.219,"['Honor Kneafsey', 'Eva Whittaker', 'Sean Bean']",Tomm Moore,Bruno Coulais,Will Collins,Paul Young
Puss in Boots: The Last Wish,315162,2022-12-07,8.219,"['Antonio Banderas', 'Salma Hayek Pinault', 'Harvey Guillén']",Joel Crawford,Heitor Pereira,Paul Fisher,Mark Swift
Gladiator,98,2000-05-04,8.218,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen']",Ridley Scott,Hans Zimmer,David Franzoni,David Franzoni
Inglourious Basterds,16869,2009-08-02,8.218,"['Brad Pitt', 'Mélanie Laurent', 'Christoph Waltz']",Quentin Tarantino,,,Lawrence Bender
Saving Private Ryan,857,1998-07-24,8.218,"['Tom Hanks', 'Tom Sizemore', 'Edward Burns']",Steven Spielberg,John Williams,,Steven Spielberg
The Shining,694,1980-05-23,8.2,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd']",Stanley Kubrick,Wendy Carlos,Diane Johnson,Stanley Kubrick
Justice League Dark: Apokolips War,618344,2020-05-05,8.2,"['Matt Ryan', ""Jerry O'Connell"", 'Taissa Farmiga']",Matt Peters,Frederik Wiedmann,,Amy McKenna
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,635302,2020-10-16,8.213,"['Natsuki Hanae', 'Akari Kito', 'Hiro Shimono']",Haruo Sotozaki,Yuki Kajiura,,Masanori Miyake
The Handmaiden,290098,2016-06-01,8.211,"['Kim Min-hee', 'Kim Tae-ri', 'Ha Jung-woo']",Park Chan-wook,Cho Young-wuk,,Syd Lim
Coco,354912,2017-10-27,8.208,"['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt']",Lee Unkrich,Michael Giacchino,Adrian Molina,Darla K. Anderson
Witness for the Prosecution,37257,1957-12-17,8.208,"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton']",Billy Wilder,Matty Malneck,Billy Wilder,Arthur Hornblow Jr.
The Help,50014,2011-08-09,8.208,"['Emma Stone', 'Viola Davis', 'Bryce Dallas Howard']",Tate Taylor,Thomas Newman,Tate Taylor,Chris Columbus
Woman in the Dunes,16672,1964-02-15,8.207,"['Eiji Okada', 'Kyôko Kishida', 'Hiroko Itō']",Hiroshi Teshigahara,Toru Takemitsu,Kōbō Abe,Kiichi Ichikawa
Star Wars,11,1977-05-25,8.204,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",George Lucas,John Williams,,Gary Kurtz
The Prestige,1124,2006-10-17,8.204,"['Hugh Jackman', 'Christian Bale', 'Michael Caine']",Christopher Nolan,David Julyan,Christopher Nolan,Aaron Ryder
Shutter Island,11324,2010-02-14,8.2,"['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley']",Martin Scorsese,,Laeta Kalogridis,Bradley J. Fischer
Hacksaw Ridge,324786,2016-10-07,8.195,"['Andrew Garfield', 'Sam Worthington', 'Vince Vaughn']",Mel Gibson,Rupert Gregson-Williams,Robert Schenkkan,Bruce Davey
Top Gun: Maverick,361743,2022-05-21,8.194,"['Tom Cruise', 'Miles Teller', 'Monica Barbaro']",Joseph Kosinski,Lady Gaga,Ehren Kruger,Christopher McQuarrie
The Art of Racing in the Rain,522924,2019-08-08,8.193,"['Kevin Costner', 'Milo Ventimiglia', 'Jackie Minns']",Simon Curtis,Volker Bertelmann,Mark Bomback,Neal H. Moritz
The Apartment,284,1960-06-21,8.2,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray']",Billy Wilder,Adolph Deutsch,Billy Wilder,Billy Wilder
A Clockwork Orange,185,1971-12-19,8.192,"['Malcolm McDowell', 'Patrick Magee', 'Carl Duering']",Stanley Kubrick,Wendy Carlos,Stanley Kubrick,Stanley Kubrick
Maquia: When the Promised Flower Blooms,476292,2018-02-24,8.2,"['Manaka Iwami', 'Miyu Irino', 'Yuuki Sakurai']",Mari Okada,Kenji Kawai,Mari Okada,Nobuhiro Takenaka
Doctor Who: The Day of the Doctor,313106,2013-11-23,8.2,"['Matt Smith', 'David Tennant', 'John Hurt']",Nick Hurran,Murray Gold,,Marcus Wilson
Michael Jackson's Thriller,92060,1983-11-14,8.191,"['Michael Jackson', 'Ola Ray', 'Vincent Price']",John Landis,,John Landis,John Landis
The Seventh Seal,490,1957-02-16,8.2,"['Max von Sydow', 'Bengt Ekerot', 'Gunnar Björnstrand']",Ingmar Bergman,Erik Nordgren,Ingmar Bergman,Allan Ekelund
Bicycle Thieves,5156,1948-07-21,8.2,"['Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell']",Vittorio De Sica,Alessandro Cicognini,Cesare Zavattini,Vittorio De Sica
