title,id,release_date,vote_average,actors,director,composer,writer,producer
Heart of Stone,724209,2023-08-09,6.788,"['Gal Gadot', 'Jamie Dornan', 'Alia Bhatt']",Tom Harper,Steven Price,Greg Rucka,Dana Goldberg
Dumplin',472734,2018-12-20,6.789,"['Danielle Macdonald', 'Jennifer Aniston', 'Odeya Rush']",Anne Fletcher,Jake Monaco,Kristin Hahn,Mohamed AlRafi
Star Wars: The Last Jedi,181808,2017-12-13,6.788,"['Mark Hamill', 'Carrie Fisher', 'Adam Driver']",Rian Johnson,John Williams,,Ram Bergman
Safety Not Guaranteed,84332,2012-06-08,6.788,"['Aubrey Plaza', 'Mark Duplass', 'Jake Johnson']",Colin Trevorrow,Ryan Miller,,Marc Turtletaub
The Book of Eli,20504,2010-01-14,6.8,"['Denzel Washington', 'Gary Oldman', 'Mila Kunis']",Allen Hughes,Claudia Sarne,,Denzel Washington
Chitty Chitty Bang Bang,11708,1968-12-17,6.8,"['Dick Van Dyke', 'Sally Ann Howes', 'Lionel Jeffries']",Ken Hughes,Richard M. Sherman,Roald Dahl,Albert R. Broccoli
Memory,818397,2022-04-28,6.8,"['Liam Neeson', 'Guy Pearce', 'Taj Atwal']",Martin Campbell,Photek,Dario Scardapane,Cathy Schulman
Chappie,198184,2015-03-04,6.787,"['Sharlto Copley', 'Dev Patel', 'Hugh Jackman']",Neill Blomkamp,Hans Zimmer,,Simon Kinberg
Sightless,733156,2020-09-29,6.786,"['Madelaine Petsch', 'Alexander Koch', 'December Ensminger']",Cooper Karl,Phillip Lober,,Kaila York
Please Stand By,338768,2018-01-26,6.788,"['Dakota Fanning', 'Alice Eve', 'Toni Collette']",Ben Lewin,Heitor Pereira,Michael Golamco,Lara Alameddine
Manitou's Shoe,8366,2001-07-11,6.786,"['Michael Herbig', 'Christian Tramitz', 'Sky du Mont']",Michael Herbig,Ralf Wengenmayr,Alfons Biedermann,Michael Wolf
Cop Land,2142,1997-08-15,6.8,"['Sylvester Stallone', 'Harvey Keitel', 'Ray Liotta']",James Mangold,Howard Shore,,Cathy Konrad
Klute,466,1971-06-23,6.8,"['Jane Fonda', 'Donald Sutherland', 'Charles Cioffi']",Alan J. Pakula,Michael Small,,Alan J. Pakula
Smallfoot,446894,2018-09-20,6.784,"['Channing Tatum', 'James Corden', 'Zendaya']",Karey Kirkpatrick,Heitor Pereira,Karey Kirkpatrick,Glenn Ficarra
Star Trek Beyond,188927,2016-07-07,6.785,"['Chris Pine', 'Zachary Quinto', 'Karl Urban']",Justin Lin,Michael Giacchino,,J.J. Abrams
Dragon Ball Z: Battle of Gods,126963,2013-03-30,6.8,"['Masako Nozawa', 'Koichi Yamadera', 'Masakazu Morita']",Masahiro Hosoda,Norihito Sumitomo,Yusuke Watanabe,Osamu Nozaki
The Naked Gun 2½: The Smell of Fear,37137,1991-06-28,6.785,"['Leslie Nielsen', 'Priscilla Presley', 'George Kennedy']",David Zucker,Ira Newborn,,Robert K. Weiss
Fallen,9411,1998-01-16,6.785,"['Denzel Washington', 'John Goodman', 'Donald Sutherland']",Gregory Hoblit,Tan Dun,Nicholas Kazan,Dawn Steel
Leave No Trace,443463,2018-06-29,6.8,"['Thomasin McKenzie', 'Ben Foster', 'Jeff Kober']",Debra Granik,Dickon Hinchliffe,Anne Rosellini,Anne Rosellini
Charlotte's Web,15171,1973-03-01,6.8,"['Debbie Reynolds', 'Henry Gibson', 'Danny Bonaduce']",Charles A. Nichols,Irwin Kostal,,Joseph Barbera
Bodyguards and Assassins,30596,2009-12-18,6.8,"['Donnie Yen', 'Wang Xueqi', 'Tony Leung Ka-Fai']",Teddy Chan Tak-Sum,Comfort Chan Kwong-Wing,,Jojo Hui Yuet-Chun
Human Traffic,11129,1999-06-04,6.783,"['John Simm', 'Shaun Parkes', 'Nicola Reynolds']",Justin Kerrigan,Roberto Leite,Justin Kerrigan,Allan Niblo
Heaven's Gate,10935,1980-11-19,6.8,"['Kris Kristofferson', 'Christopher Walken', 'John Hurt']",Michael Cimino,David Mansfield,Michael Cimino,Joann Carelli
Chariots of Fire,9443,1981-05-15,6.8,"['Ben Cross', 'Ian Charleson', 'Cheryl Campbell']",Hugh Hudson,Vangelis,,David Puttnam
Legally Blonde,8835,2001-07-13,6.784,"['Reese Witherspoon', 'Luke Wilson', 'Selma Blair']",Robert Luketic,Rolfe Kent,Kirsten Smith,Ric Kidney
In the Valley of Elah,6973,2007-09-14,6.783,"['Tommy Lee Jones', 'Charlize Theron', 'Susan Sarandon']",Paul Haggis,Mark Isham,Paul Haggis,Patrick Wachsberger
Panic Room,4547,2002-03-29,6.783,"['Jodie Foster', 'Kristen Stewart', 'Forest Whitaker']",David Fincher,Howard Shore,David Koepp,Gavin Polone
Atlas,614933,2024-05-23,6.778,"['Jennifer Lopez', 'Simu Liu', 'Sterling K. Brown']",Brad Peyton,Andrew Lockington,,Elaine Goldsmith-Thomas
Asterix: The Mansions of the Gods,170522,2014-11-26,6.8,"['Roger Carel', 'Alexandre Astier', 'Lionnel Astier']",Alexandre Astier,,,Philippe Bony
The Drop,154400,2014-09-12,6.8,"['Tom Hardy', 'Noomi Rapace', 'James Gandolfini']",Michaël R. Roskam,Marco Beltrami,Dennis Lehane,Peter Chernin
Rio Grande,11617,1950-11-15,6.782,"['John Wayne', ""Maureen O'Hara"", 'Ben Johnson']",John Ford,Victor Young,James Kevin McGuinness,Merian C. Cooper
11:14,9282,2003-09-05,6.782,"['Rachael Leigh Cook', 'Ben Foster', 'Clark Gregg']",Greg Marcks,Clint Mansell,,Beau Flynn
Day Shift,755566,2022-08-12,6.781,"['Jamie Foxx', 'Dave Franco', 'Natasha Liu Bordizzo']",J.J. Perry,Tyler Bates,Tyler Tice,Shaun Redick
Black and Blue,578189,2019-10-25,6.8,"['Naomie Harris', 'Tyrese Gibson', 'Frank Grillo']",Deon Taylor,Geoff Zanelli,,Sean Sorensen
Miss Pettigrew Lives for a Day,12178,2008-03-07,6.8,"['Frances McDormand', 'Amy Adams', 'Lee Pace']",Bharat Nalluri,Paul Englishby,Simon Beaufoy,Stephen Garrett
History of the World: Part I,10156,1981-06-12,6.781,"['Mel Brooks', 'Dom DeLuise', 'Madeline Kahn']",Mel Brooks,John Morris,Mel Brooks,Mel Brooks
Loro 1,417670,2018-04-24,6.8,"['Toni Servillo', 'Elena Sofia Ricci', 'Riccardo Scamarcio']",Paolo Sorrentino,,,Nicola Giuliano
Let Me In,41402,2010-10-01,6.78,"['Kodi Smit-McPhee', 'Chloë Grace Moretz', 'Richard Jenkins']",Matt Reeves,Michael Giacchino,Matt Reeves,John Nordling
The Night Porter,26648,1974-04-03,6.8,"['Dirk Bogarde', 'Charlotte Rampling', 'Philippe Leroy']",Liliana Cavani,Daniele Paris,Liliana Cavani,Esa De Simone
Pope Joan,9503,2009-10-22,6.78,"['John Goodman', 'Johanna Wokalek', 'David Wenham']",Sönke Wortmann,Marcel Barsotti,Heinrich Hadding,Oliver Berben
Going Places,4031,1974-03-20,6.8,"['Gérard Depardieu', 'Miou-Miou', 'Patrick Dewaere']",Bertrand Blier,Stéphane Grappelli,Bertrand Blier,Paul Claudon
Westworld,2362,1973-08-15,6.8,"['Yul Brynner', 'Richard Benjamin', 'James Brolin']",Michael Crichton,Fred Karlin,,Paul Lazarus III
The Power of the Dog,600583,2021-10-25,6.8,"['Benedict Cumberbatch', 'Kodi Smit-McPhee', 'Kirsten Dunst']",Jane Campion,Jonny Greenwood,,Roger Frappier
The Panic in Needle Park,27554,1971-06-01,6.8,"['Al Pacino', 'Kitty Winn', 'Alan Vint']",Jerry Schatzberg,,Joan Didion,Dominick Dunne
Tinker Bell and the Lost Treasure,25475,2009-09-03,6.778,"['Mae Whitman', 'Jesse McCartney', 'Jane Horrocks']",Klay Hall,Joel McNeely,Evan Spiliotopoulos,Sean Lurie
House on Haunted Hill,15856,1959-01-01,6.8,"['Vincent Price', 'Carol Ohmart', 'Richard Long']",William Castle,Von Dexter,,William Castle
Four Brothers,8292,2005-08-11,6.8,"['Mark Wahlberg', 'Tyrese Gibson', 'André 3000']",John Singleton,David Arnold,,Lorenzo di Bonaventura
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,496,2006-11-01,6.8,"['Sacha Baron Cohen', 'Ken Davitian', 'Luenell']",Larry Charles,Erran Baron Cohen,Sacha Baron Cohen,Sacha Baron Cohen
Red Rocket,763329,2021-12-10,6.778,"['Simon Rex', 'Suzanna Son', 'Bree Elrod']",Sean Baker,,,Sean Baker
Tully,400579,2018-05-04,6.778,"['Charlize Theron', 'Mackenzie Davis', 'Ron Livingston']",Jason Reitman,Rob Simonsen,Diablo Cody,Jason Reitman
Project Almanac,227719,2015-01-28,6.8,"['Jonny Weston', ""Sofia Black-D'Elia"", 'Sam Lerner']",Dean Israelite,,,Michael Bay
Sweet and Lowdown,9684,1999-12-03,6.8,"['Sean Penn', 'Samantha Morton', 'Anthony LaPaglia']",Woody Allen,,Woody Allen,Jean Doumanian
I'm for the Hippopotamus,9031,1979-11-30,6.778,"['Terence Hill', 'Bud Spencer', 'Joe Bugner']",Italo Zingarelli,Walter Rizzati,Italo Zingarelli,Roberto Palaggi
Anna and the King,1439,1999-12-16,6.8,"['Jodie Foster', 'Chow Yun-Fat', 'Bai Ling']",Andy Tennant,Robert Kraft,Steve Meerson,Lawrence Bender
A Quiet Place: Day One,762441,2024-06-26,6.774,"[""Lupita Nyong'o"", 'Joseph Quinn', 'Alex Wolff']",Michael Sarnoski,Alexis Grapsas,Michael Sarnoski,John Krasinski
The Unbearable Weight of Massive Talent,648579,2022-04-20,6.778,"['Nicolas Cage', 'Pedro Pascal', 'Sharon Horgan']",Tom Gormican,Mark Isham,,Nicolas Cage
Look Who's Back,318917,2015-10-08,6.8,"['Oliver Masucci', 'Fabian Busch', 'Katja Riemann']",David Wnendt,Enis Rotthoff,Mizzi Meyer,Christoph Müller
People Like Us,98548,2012-06-29,6.777,"['Chris Pine', 'Elizabeth Banks', 'Olivia Wilde']",Alex Kurtzman,A.R. Rahman,Alex Kurtzman,Bobby Cohen
Practical Magic,6435,1998-10-16,6.8,"['Sandra Bullock', 'Nicole Kidman', 'Stockard Channing']",Griffin Dunne,Alan Silvestri,Robin Swicord,Denise Di Novi
Michael Clayton,4566,2007-09-28,6.777,"['George Clooney', 'Tom Wilkinson', 'Tilda Swinton']",Tony Gilroy,James Newton Howard,,Kerry Orent
Body Double,11507,1984-10-25,6.8,"['Craig Wasson', 'Melanie Griffith', 'Gregg Henry']",Brian De Palma,Pino Donaggio,Brian De Palma,Brian De Palma
How the Grinch Stole Christmas,8871,2000-11-17,6.777,"['Jim Carrey', 'Taylor Momsen', 'Jeffrey Tambor']",Ron Howard,James Horner,Jeffrey Price,Brian Grazer
Champions,933419,2023-03-09,6.775,"['Woody Harrelson', 'Kaitlin Olson', 'Cheech Marin']",Bobby Farrelly,Michael Franti,Mark Rizzo,Paul Brooks
The DUFF,272693,2015-02-20,6.775,"['Mae Whitman', 'Robbie Amell', 'Bella Thorne']",Ari Sandel,Dominic Lewis,Josh A. Cagan,Susan Cartsonis
Niagara,19997,1953-01-26,6.8,"['Marilyn Monroe', 'Joseph Cotten', 'Jean Peters']",Henry Hathaway,Sol Kaplan,,Charles Brackett
The Craft,9100,1996-05-03,6.8,"['Robin Tunney', 'Fairuza Balk', 'Neve Campbell']",Andrew Fleming,Graeme Revell,Peter Filardi,Douglas Wick
The Three Musketeers,2926,1973-12-11,6.8,"['Michael York', 'Oliver Reed', 'Richard Chamberlain']",Richard Lester,Michel Legrand,George MacDonald Fraser,Alexander Salkind
The Ash Lad: In the Hall of the Mountain King,444090,2017-09-29,6.774,"['Vebjørn Enger', 'Mads Sjøgård Pettersen', 'Elias Holmen Sørensen']",Mikkel Brænne Sandemose,Ginge Anvik,Espen Enger,Åshild Ramborg
Steve Jobs,321697,2015-10-09,6.774,"['Michael Fassbender', 'Kate Winslet', 'Seth Rogen']",Danny Boyle,Daniel Pemberton,,Mark Gordon
The Merchant of Venice,11162,2004-12-03,6.8,"['Al Pacino', 'Jeremy Irons', 'Joseph Fiennes']",Michael Radford,Jocelyn Pook,Michael Radford,Barry Navidi
Hannibal,9740,2001-02-08,6.773,"['Anthony Hopkins', 'Julianne Moore', 'Gary Oldman']",Ridley Scott,Hans Zimmer,David Mamet,Martha De Laurentiis
The Italian Job,9654,2003-05-30,6.774,"['Mark Wahlberg', 'Charlize Theron', 'Edward Norton']",F. Gary Gray,John Powell,Donna Powers,Donald De Line
Masquerade,892515,2022-11-01,6.8,"['Pierre Niney', 'Isabelle Adjani', 'François Cluzet']",Nicolas Bedos,,,François Kraus
Malignant,619778,2021-09-01,6.8,"['Annabelle Wallis', 'Maddie Hasson', 'George Young']",James Wan,Joseph Bishara,Akela Cooper,James Wan
Tom & Jerry,587807,2021-02-10,6.773,"['Chloë Grace Moretz', 'Michael Peña', 'Colin Jost']",Tim Story,Christopher Lennertz,,Christopher DeFaria
Mi prima la sexóloga,525686,2016-07-20,6.8,"['Stephanie Herela', 'Andrés Salvatierra', 'Majelo Quiróz']",Miguel Chávez,,,Miguel Chávez
Nosferatu,426063,2024-12-25,6.8,"['Lily-Rose Depp', 'Nicholas Hoult', 'Bill Skarsgård']",Robert Eggers,Robin Carolan,Robert Eggers,Jeff Robinov
200 Pounds Beauty,18377,2006-12-14,6.773,"['Ju Jin-mo', 'Kim A-joong', 'Sung Dong-il']",Kim Yong-hwa,Lee Jae-hak,Kim Yong-hwa,Won Dong-yeon
Prince of Darkness,8852,1987-10-23,6.774,"['Donald Pleasence', 'Lisa Blount', 'Victor Wong']",John Carpenter,John Carpenter,John Carpenter,Larry Franco
Napoleon Dynamite,8193,2004-06-11,6.8,"['Jon Heder', 'Efren Ramirez', 'Tina Majorino']",Jared Hess,John Swihart,Jared Hess,Sean Covel
Sixteen Candles,15144,1984-05-04,6.772,"['Molly Ringwald', 'Michael Schoeffling', 'Haviland Morris']",John Hughes,Ira Newborn,,Hilton A. Green
The Wedding Singer,11003,1998-02-13,6.772,"['Adam Sandler', 'Drew Barrymore', 'Christine Taylor']",Frank Coraci,Teddy Castellucci,Tim Herlihy,Jack Giarraputo
Tenacious D in The Pick of Destiny,2179,2006-11-22,6.772,"['Jack Black', 'Kyle Gass', 'JR Reed']",Liam Lynch,Andrew Gross,,Kyle Gass
Fantomas Unleashed,1870,1965-12-08,6.8,"['Jean Marais', 'Louis de Funès', 'Mylène Demongeot']",André Hunebelle,Michel Magne,Jean Halain,Paul Cadéac
Hotel Transylvania 2,159824,2015-09-21,6.771,"['Adam Sandler', 'Andy Samberg', 'Selena Gomez']",Genndy Tartakovsky,Mark Mothersbaugh,,Robert Smigel
Arthur Christmas,51052,2011-11-10,6.771,"['James McAvoy', 'Hugh Laurie', 'Bill Nighy']",Sarah Smith,Harry Gregson-Williams,Sarah Smith,Peter Lord
Three... Extremes,33908,2004-08-20,6.8,"['Kyoko Hasegawa', 'Atsuro Watabe', 'Mai Suzuki']",Fruit Chan,Comfort Chan Kwong-Wing,,Peter Ho-Sun Chan
Barbie Mariposa,18198,2008-02-26,6.8,"['Chiara Zanni', 'Tabitha St. Germain', 'Kathleen Barr']",Conrad Helten,Eric Colvin,,Luke Carroll
The Rookie,14635,2002-03-25,6.8,"['Dennis Quaid', 'Rachel Griffiths', 'Jay Hernandez']",John Lee Hancock,Carter Burwell,,Gordon Gray
Avengement,534490,2019-05-24,6.77,"['Scott Adkins', 'Craig Fairbrass', 'Thomas Turgoose']",Jesse V. Johnson,,,Joe Karimi-Nik
Thor,10195,2011-04-21,6.77,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston']",Kenneth Branagh,Patrick Doyle,Ashley Miller,Kevin Feige
99 Homes,283235,2015-09-25,6.769,"['Andrew Garfield', 'Michael Shannon', 'Laura Dern']",Ramin Bahrani,Antony Partos,,Justin Nappi
Primer,14337,2004-10-08,6.769,"['Shane Carruth', 'David Sullivan', 'Casey Gooden']",Shane Carruth,,,Shane Carruth
Blast from the Past,11622,1999-02-12,6.769,"['Brendan Fraser', 'Alicia Silverstone', 'Christopher Walken']",Hugh Wilson,Steve Dorff,Hugh Wilson,Hugh Wilson
The Rescuers,11319,1977-06-22,6.769,"['Bob Newhart', 'Eva Gabor', 'Geraldine Page']",John Lounsbery,Artie Butler,,Wolfgang Reitherman
Asterix in Britain,9318,1986-12-03,6.8,"['Roger Carel', 'Pierre Tornade', 'Graham Bushnell']",Pino Van Lamsweerde,Vladimir Cosma,,
We Are Your Friends,301351,2015-08-26,6.768,"['Zac Efron', 'Wes Bentley', 'Emily Ratajkowski']",Max Joseph,Matthew Simpson,Max Joseph,Tim Bevan
The Fugitives,30163,1986-12-17,6.768,"['Pierre Richard', 'Gérard Depardieu', 'Jean Carmet']",Francis Veber,Vladimir Cosma,,
Secretary,11013,2002-09-20,6.768,"['James Spader', 'Maggie Gyllenhaal', 'Jeremy Davies']",Steven Shainberg,Angelo Badalamenti,Erin Cressida Wilson,Steven Shainberg
Four Weddings and a Funeral,712,1994-03-09,6.768,"['Hugh Grant', 'Andie MacDowell', 'Kristin Scott Thomas']",Mike Newell,Richard Rodney Bennett,Richard Curtis,Duncan Kenworthy
Roald Dahl's Matilda the Musical,668482,2022-11-25,6.766,"['Alisha Weir', 'Emma Thompson', 'Lashana Lynch']",Matthew Warchus,Christopher Nightingale,Dennis Kelly,Luke Kelly
Level 16,548066,2018-02-20,6.767,"['Katie Douglas', 'Celina Martin', 'Peter Outerbridge']",Danishka Esterhazy,Joseph Murray,,Michael McNamara
Battle of the Sexes,369192,2017-09-22,6.767,"['Emma Stone', 'Steve Carell', 'Andrea Riseborough']",Valerie Faris,Nicholas Britell,,Robert Graf
The Equalizer 2,345887,2018-07-19,6.8,"['Denzel Washington', 'Pedro Pascal', 'Ashton Sanders']",Antoine Fuqua,Harry Gregson-Williams,Richard Wenk,Todd Black
Super 8,37686,2011-06-08,6.767,"['Joel Courtney', 'Elle Fanning', 'Riley Griffiths']",J.J. Abrams,Michael Giacchino,,J.J. Abrams
The Last Seduction,25284,1994-05-26,6.8,"['Linda Fiorentino', 'Peter Berg', 'J.T. Walsh']",John Dahl,Joseph Vitarelli,,Jonathan Shestack
The Warlords,14392,2007-12-12,6.767,"['Jet Li', 'Andy Lau Tak-Wah', 'Takeshi Kaneshiro']",Peter Ho-Sun Chan,Comfort Chan Kwong-Wing,Chun Tin-Nam,Peter Ho-Sun Chan
Far and Away,11259,1992-05-22,6.767,"['Tom Cruise', 'Nicole Kidman', 'Thomas Gibson']",Ron Howard,John Williams,Bob Dolman,Ron Howard
The Little Rascals,10897,1994-08-05,6.767,"['Bug Hall', 'Brittany Ashton Holmes', 'Travis Tedford']",Penelope Spheeris,William Ross,Paul Guay,Bill Oakes
No Hard Feelings,884605,2023-06-15,6.766,"['Jennifer Lawrence', 'Andrew Barth Feldman', 'Laura Benanti']",Gene Stupnitsky,Jessica Rose Weiss,,Marc Provissiero
Black Mirror: Bandersnatch,569547,2018-12-28,6.766,"['Fionn Whitehead', 'Craig Parkinson', 'Alice Lowe']",David Slade,Brian Reitzell,,Russell McLean
Mr. Jones,509598,2019-10-03,6.766,"['James Norton', 'Vanessa Kirby', 'Peter Sarsgaard']",Agnieszka Holland,Antoni Łazarkiewicz,Andrea Chalupa,Stanisław Dziedzic
Teen Beach 2,325189,2015-06-26,6.8,"['Ross Lynch', 'Maia Mitchell', 'Gracie Gillam']",Jeffrey Hornaday,David Lawrence,,
7 and 8,48175,2007-03-16,6.766,"['Salvatore Ficarra', 'Valentino Picone', 'Eleonora Abbagnato']",Giambattista Avellino,Carlo Crivelli,Francesco Bruni,Beppe Caschetto
Oedipus Rex,42691,1967-09-07,6.8,"['Silvana Mangano', 'Franco Citti', 'Alida Valli']",Pier Paolo Pasolini,,,Alfredo Bini
The Swan,1172675,2023-09-27,6.8,"['Rupert Friend', 'Ralph Fiennes', 'Asa Jennings']",Wes Anderson,,,Jeremy Dawson
Respect,592863,2021-08-12,6.766,"['Jennifer Hudson', 'Forest Whitaker', 'Marlon Wayans']",Liesl Tommy,Kris Bowers,Tracey Scott Wilson,Jonathan Glickman
Red Notice,512195,2021-11-04,6.765,"['Dwayne Johnson', 'Ryan Reynolds', 'Gal Gadot']",Rawson Marshall Thurber,Steve Jablonsky,,Hiram Garcia
SuperFly,500475,2018-06-13,6.765,"['Trevor Jackson', 'Jason Mitchell', 'Michael Kenneth Williams']",Director X.,,Alex Tse,Future
Last Flag Flying,419709,2017-11-03,6.8,"['Steve Carell', 'Bryan Cranston', 'Laurence Fishburne']",Richard Linklater,,Darryl Ponicsan,Richard Linklater
The Tiger and the Snow,10846,2005-10-14,6.765,"['Roberto Benigni', 'Jean Reno', 'Nicoletta Braschi']",Roberto Benigni,Nicola Piovani,,Nicoletta Braschi
Monster's Ball,1365,2001-12-26,6.8,"['Billy Bob Thornton', 'Heath Ledger', 'Halle Berry']",Marc Forster,Asche & Spencer,,Lee Daniels
Capricorn One,11935,1977-12-10,6.8,"['Elliott Gould', 'James Brolin', 'Brenda Vaccaro']",Peter Hyams,Jerry Goldsmith,Peter Hyams,Paul Lazarus III
Hellboy II: The Golden Army,11253,2008-07-11,6.764,"['Ron Perlman', 'Selma Blair', 'Doug Jones']",Guillermo del Toro,Danny Elfman,Guillermo del Toro,Lawrence Gordon
The Good Son,9272,1993-09-24,6.764,"['Macaulay Culkin', 'Elijah Wood', 'Wendy Crewson']",Joseph Ruben,Elmer Bernstein,Ian McEwan,Mary Ann Page
The Girl in the Fog,468202,2017-10-26,6.761,"['Toni Servillo', 'Jean Reno', 'Alessio Boni']",Donato Carrisi,Vito Lo Re,,Maurizio Totti
Chasing Amy,2255,1997-04-04,6.763,"['Ben Affleck', 'Joey Lauren Adams', 'Jason Lee']",Kevin Smith,David Pirner,Kevin Smith,Scott Mosier
Marvel One-Shot: All Hail the King,253980,2014-02-04,6.761,"['Ben Kingsley', 'Scoot McNairy', 'Lester Speight']",Drew Pearce,Brian Tyler,Drew Pearce,Kevin Feige
Goal!,9763,2005-09-29,6.762,"['Kuno Becker', 'Alessandro Nivola', 'Anna Friel']",Danny Cannon,Graeme Revell,Adrian Butchart,Mike Jefferies
21 Bridges,535292,2019-10-24,6.8,"['Chadwick Boseman', 'Sienna Miller', 'J.K. Simmons']",Brian Kirk,Alex Belcher,Adam Mervis,Chadwick Boseman
The Square,401246,2017-08-25,6.761,"['Claes Bang', 'Elisabeth Moss', 'Dominic West']",Ruben Östlund,,,Erik Hemmendorff
The Man Who Killed Don Quixote,297725,2018-05-19,6.761,"['Adam Driver', 'Jonathan Pryce', 'Stellan Skarsgård']",Terry Gilliam,Roque Baños,Tony Grisoni,Amy Gilliam
Sun in Buckets,231176,2013-10-31,6.8,"['Checco Zalone', 'Miriam Dalmazio', 'Marco Paolini']",Gennaro Nunziante,Checco Zalone,Gennaro Nunziante,Pietro Valsecchi
Jersey Boys,209451,2014-06-18,6.763,"['John Lloyd Young', 'Vincent Piazza', 'Michael Lomenda']",Clint Eastwood,,Rick Elice,Robert Lorenz
Wyatt Earp,12160,1994-06-24,6.761,"['Kevin Costner', 'Dennis Quaid', 'Gene Hackman']",Lawrence Kasdan,James Newton Howard,Lawrence Kasdan,Lawrence Kasdan
Death Becomes Her,9374,1992-07-30,6.8,"['Goldie Hawn', 'Bruce Willis', 'Meryl Streep']",Robert Zemeckis,Alan Silvestri,,Steve Starkey
Against the Ice,836009,2022-02-10,6.8,"['Nikolaj Coster-Waldau', 'Joe Cole', 'Charles Dance']",Peter Flinth,Volker Bertelmann,Nikolaj Coster-Waldau,Nikolaj Coster-Waldau
Alaska,348765,2015-11-05,6.8,"['Elio Germano', 'Astrid Bergès-Frisbey', 'Valerio Binasco']",Claudio Cupellini,Pasquale Catalano,Claudio Cupellini,Marco Cohen
Family Guy Presents: It's a Trap!,278427,2010-12-21,6.76,"['Seth MacFarlane', 'Alex Borstein', 'Seth Green']",Peter Shin,Walter Murphy,,John Viener
Never Back Down,8456,2008-03-04,6.76,"['Sean Faris', 'Amber Heard', 'Cam Gigandet']",Jeff Wadlow,Michael Wandmacher,Chris Hauty,Craig Baumgarten
Paris Je T'aime,2266,2006-06-21,6.8,"['Steve Buscemi', 'Natalie Portman', 'Willem Dafoe']",Olivier Assayas,Pierre Adenot,,Emmanuel Benbihy
Home Alone 2: Lost in New York,772,1992-11-15,6.76,"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern']",Chris Columbus,John Williams,John Hughes,John Hughes
In Her Name,381262,2016-03-16,6.8,"['Daniel Auteuil', 'Sebastian Koch', 'Marie-Josée Croze']",Vincent Garenq,Nicolas Errèra,Julien Rappeneau,Roland Schaffner
Danny Collins,256924,2015-03-19,6.759,"['Al Pacino', 'Annette Bening', 'Christopher Plummer']",Dan Fogelman,Theodore Shapiro,Dan Fogelman,Nimitt Mankad
In the Heart of the Sea,205775,2015-12-03,6.759,"['Chris Hemsworth', 'Benjamin Walker', 'Cillian Murphy']",Ron Howard,Roque Baños,Charles Leavitt,Will Ward
I Am Love,41110,2010-03-19,6.8,"['Tilda Swinton', 'Flavio Parenti', 'Edoardo Gabbriellini']",Luca Guadagnino,,Walter Fasano,Alessandro Usai
The Adjustment Bureau,38050,2011-03-03,6.8,"['Matt Damon', 'Emily Blunt', 'John Slattery']",George Nolfi,Thomas Newman,George Nolfi,Bill Carraro
Opera,20115,1987-12-19,6.8,"['Cristina Marsillach', 'Ian Charleson', 'Urbano Barberini']",Dario Argento,Brian Eno,Franco Ferrini,Dario Argento
Doctor Strange,14830,2007-08-14,6.759,"['Bryce Johnson', 'Paul Nakauchi', 'Kevin Michael Richardson']",Jay Oliva,Guy Michelmore,Greg Johnson,
French Connection II,10711,1975-05-18,6.759,"['Gene Hackman', 'Fernando Rey', 'Bernard Fresson']",John Frankenheimer,Don Ellis,Alexander Jacobs,Robert L. Rosen
Peninsula,581392,2020-07-15,6.8,"['Gang Dong-won', 'Lee Jung-hyun', 'Lee Re']",Yeon Sang-ho,Mowg,,Kim Yeon-ho
Twitches,21481,2005-10-14,6.8,"['Tia Mowry', 'Tamera Mowry-Housley', 'Kristen Wilson']",Stuart Gillard,,,
The 'Burbs,11974,1989-02-17,6.762,"['Tom Hanks', 'Bruce Dern', 'Carrie Fisher']",Joe Dante,Jerry Goldsmith,,Larry Brezner
Romancing the Stone,9326,1984-03-30,6.758,"['Michael Douglas', 'Kathleen Turner', 'Danny DeVito']",Robert Zemeckis,Alan Silvestri,Diane Thomas,Michael Douglas
Ali,8489,2001-12-10,6.8,"['Will Smith', 'Jamie Foxx', 'Jon Voight']",Michael Mann,Pieter Bourke,Stephen J. Rivele,Paul Ardaji
Blink Twice,840705,2024-08-21,6.8,"['Naomi Ackie', 'Channing Tatum', 'Alia Shawkat']",Zoë Kravitz,Chanda Dancy,,Zoë Kravitz
Only You,9058,1994-03-04,6.8,"['Marisa Tomei', 'Robert Downey Jr.', 'Bonnie Hunt']",Norman Jewison,Rachel Portman,Diane Drake,Robert N. Fried
Ice Age: Dawn of the Dinosaurs,8355,2009-06-26,6.8,"['Ray Romano', 'John Leguizamo', 'Denis Leary']",Carlos Saldanha,John Powell,Michael Berg,Lori Forte
All the Way Boys,1721,1972-12-22,6.8,"['Terence Hill', 'Bud Spencer', 'Reinhard Kolldehoff']",Giuseppe Colizzi,Guido De Angelis,Giuseppe Colizzi,Italo Zingarelli
Beau Is Afraid,798286,2023-04-14,6.757,"['Joaquin Phoenix', 'Patti LuPone', 'Amy Ryan']",Ari Aster,Bobby Krlic,,Ari Aster
