title,id,release_date,vote_average
Along with the Gods: The Last 49 Days,518068,2018-08-01,8.1
Purple Hearts,762975,2022-07-29,8.109
The Invisible Guest,411088,2017-01-06,8.106
Incendies,46738,2010-09-17,8.105
Mortal Kombat Legends: Scorpion's Revenge,664767,2020-04-12,8.104
"“The Shorts” by Aldo, Giovanni and Giacomo",38288,1996-03-29,8.104
Red Beard,3780,1965-04-03,8.1
Prisoners,146233,2013-09-19,8.1
Big Deal on Madonna Street,24382,1958-07-26,8.1
"Paris, Texas",655,1984-07-16,8.1
Sansho the Bailiff,20532,1954-03-31,8.1
The Best of Youth,11659,2003-06-22,8.1
Eternal Sunshine of the Spotless Mind,38,2004-03-19,8.096
Yojimbo,11878,1961-04-25,8.1
WALL·E,10681,2008-06-22,8.095
Some Like It Hot,239,1959-03-19,8.1
The Hunt,103663,2012-06-13,8.1
"Miraculous World: New York, United HeroeZ",755812,2020-09-25,8.1
Harry Potter and the Deathly Hallows: Part 2,12445,2011-07-12,8.091
The Tale of The Princess Kaguya,149871,2013-11-23,8.1
All About Eve,705,1950-11-09,8.089
La Haine,406,1995-05-31,8.1
Das Boot,387,1981-09-17,8.087
Children of Paradise,2457,1945-03-15,8.1
Prayers for Bobby,21634,2009-01-24,8.1
La Dolce Vita,439,1960-02-05,8.079
Far from the Tree,831827,2021-11-24,8.1
New Gods: Nezha Reborn,663558,2021-02-06,8.077
Guillermo del Toro's Pinocchio,555604,2022-11-09,8.077
KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,532067,2019-08-30,8.075
M,832,1931-05-11,8.077
Oppenheimer,872585,2023-07-19,8.076
There Will Be Blood,7345,2007-12-26,8.1
A Taxi Driver,437068,2017-08-02,8.072
Rashomon,548,1950-08-26,8.073
Along with the Gods: The Two Worlds,397567,2017-12-20,8.1
Pride & Prejudice,4348,2005-09-16,8.071
2001: A Space Odyssey,62,1968-04-02,8.071
Believe Me: The Abduction of Lisa McVey,550776,2018-09-30,8.069
"Three Billboards Outside Ebbing, Missouri",359940,2017-12-01,8.1
A Dog's Journey,522518,2019-05-03,8.067
Lion,334543,2016-11-24,8.067
My Neighbor Totoro,8392,1988-04-16,8.067
Sherlock Jr.,992,1924-04-17,8.1
The Thing,1091,1982-06-25,8.065
Bo Burnham: Inside,823754,2021-07-22,8.062
Ran,11645,1985-06-01,8.1
A Special Day,42229,1977-08-11,8.061
Me Against You: Mr. S's Vendetta,640344,2020-01-17,8.06
Hidden Figures,381284,2016-12-10,8.058
Memories of Murder,11423,2003-05-02,8.058
Ayla: The Daughter of War,472454,2017-10-27,8.053
The Young and the Damned,800,1950-12-09,8.0
Paper Lives,785534,2021-03-12,8.0
The Grand Budapest Hotel,120467,2014-02-26,8.046
How to Train Your Dragon: Homecoming,638507,2019-12-03,8.0
The Second Mother,310569,2015-06-04,8.044
Elite Squad,7347,2007-10-12,8.044
My Name Is Khan,26022,2010-02-10,8.0
Judgment at Nuremberg,821,1961-12-18,8.04
Bo Burnham: Make Happy,400608,2016-06-03,8.039
Robot Dreams,838240,2023-12-06,8.0
To Live,31439,1994-05-18,8.035
The Elephant Man,1955,1980-10-09,8.0
The 400 Blows,147,1959-06-03,8.0
The Wolf of Wall Street,106646,2013-12-25,8.033
On My Skin,538362,2018-09-12,8.032
Rocco and His Brothers,8422,1960-10-07,8.0
Amadeus,279,1984-09-19,8.028
The Lives of Others,582,2006-03-23,8.028
Death Note Relight 1: Visions of a God,51482,2007-08-31,8.026
The Sting,9277,1973-12-25,8.024
"Veinteañera, divorciada y fantástica",610461,2020-02-14,8.0
Gifted,400928,2017-04-07,8.022
The Wages of Fear,204,1953-04-22,8.021
Flipped,43949,2010-08-06,8.018
Beyond the Universe,962232,2022-10-27,8.017
"Toto, Peppino, and the Hussy",55960,1956-08-23,8.017
Requiem for a Dream,641,2000-10-06,8.017
Dial M for Murder,521,1954-05-29,8.0
Jojo Rabbit,515001,2019-10-18,8.015
Room,264644,2015-10-16,8.0
For a Few Dollars More,938,1965-12-18,8.0
Harry Potter and the Prisoner of Azkaban,673,2004-05-31,8.015
"Rome, Open City",307,1945-10-08,8.015
Society of the Snow,906126,2023-12-15,8.011
American Beauty,14,1999-09-15,8.012
El mesero,678580,2021-07-15,8.0
All Your Faces,1000492,2023-03-29,8.006
Black Beauty,526702,2020-11-27,8.0
Hachi: A Dog's Tale,28178,2009-06-08,8.0
Simone: Woman of the Century,740937,2022-10-12,8.0
Ford v Ferrari,359724,2019-11-13,8.006
Cruella,337404,2021-05-26,8.006
Casino,524,1995-11-22,8.0
"Love, Simon",449176,2018-02-16,8.003
Song of the Sea,110416,2014-06-23,8.0
Citizen Kane,15,1941-04-17,8.0
3 Idiots,20453,2009-12-23,8.0
Tae Guk Gi: The Brotherhood of War,11658,2004-02-05,8.0
Barry Lyndon,3175,1975-12-18,8.0
Lawrence of Arabia,947,1962-12-11,8.0
"Red, White & Royal Blue",930094,2023-07-27,7.999
Weathering with You,568160,2019-06-19,7.998
Loving Vincent,339877,2017-06-22,8.0
The Imitation Game,205596,2014-11-14,7.997
The Secret in Their Eyes,25376,2009-08-13,7.996
The Deer Hunter,11778,1978-12-08,8.0
Paperman,140420,2012-11-02,8.0
Late Spring,20530,1949-09-13,8.0
Sound of Freedom,678512,2023-07-03,7.993
Kill Bill: The Whole Bloody Affair,414419,2011-03-27,7.993
To Kill a Mockingbird,595,1962-12-20,8.0
Love Exposure,28422,2009-01-31,8.0
Gran Torino,13223,2008-12-12,7.991
1917,530915,2019-12-25,7.991
Scooby-Doo! and KISS: Rock and Roll Mystery,347688,2015-07-09,8.0
In a Heartbeat,455661,2017-06-01,8.0
Nights of Cabiria,19426,1957-10-03,7.986
Andrei Rublev,895,1966-12-16,8.0
