title,id,release_date,vote_average
Mr. & Mrs. Smith,787,2005-06-07,6.687
48 Hrs.,150,1982-12-07,6.688
Border,517839,2018-09-27,6.687
Trolls Holiday,484510,2017-11-01,6.687
Beautiful Disaster,1016121,2023-04-04,6.689
The Trip,760747,2021-07-30,6.686
Luther: The Fallen Sun,722149,2023-02-24,6.686
Mad Max,9659,1979-04-12,6.686
Police Academy,9336,1984-03-22,6.7
Ransom,3595,1996-11-08,6.7
The Bounty,2669,1984-05-04,6.7
Jurassic World Dominion,507086,2022-06-01,6.685
The Flash,298618,2023-06-13,6.684
Fast & Furious,13804,2009-04-02,6.684
Mank,614560,2020-11-13,6.683
My Week with Marilyn,75900,2011-11-23,6.7
Rabbit Hole,27585,2010-12-16,6.684
Welcome to the Sticks,8265,2008-02-20,6.684
Rambo,7555,2008-01-24,6.7
Home Team,817648,2022-01-28,6.682
The Last Circus,56812,2010-12-17,6.7
The Stepford Wives,12223,1975-02-12,6.7
The Other Boleyn Girl,12184,2008-02-28,6.683
Parenthood,1552,1989-07-31,6.7
Sabotage,12684,1937-01-08,6.7
The Client,10731,1994-07-20,6.7
"Corrina, Corrina",10464,1994-08-12,6.7
X+Y,278236,2014-03-13,6.681
Stir of Echoes,11601,1999-09-10,6.7
Up in Smoke,11455,1978-05-16,6.681
Tropic Thunder,7446,2008-08-09,6.681
Along for the Ride,778106,2022-05-06,6.68
The Advent Calendar,762079,2021-12-01,6.68
The Muppets,64328,2011-11-22,6.682
Patriot Games,9869,1992-06-04,6.7
The Day After,7012,1983-11-20,6.68
Tutta colpa di Freud,250235,2014-01-23,6.7
The Mirror Has Two Faces,25189,1996-11-15,6.7
The 13th Warrior,1911,1999-08-13,6.7
The Ides of March,10316,2011-09-24,6.678
Zombie Flesh Eaters,7219,1979-08-25,6.7
Emily the Criminal,862965,2022-08-12,6.678
More the Merrier,763152,2021-07-30,6.677
Hitman's Wife's Bodyguard,522931,2021-06-14,6.677
The Infiltrator,325789,2016-07-13,6.677
Cracks,35052,2009-12-04,6.7
Catch-22,10364,1970-06-24,6.677
Dream Scenario,823482,2023-11-10,6.673
Time Freak,451925,2018-11-09,6.681
Pollock,12509,2000-09-06,6.676
Nanny McPhee,11283,2005-10-21,6.676
Dying Young,9079,1991-06-20,6.676
Days of Glory,2016,2006-09-27,6.7
Hellboy,1487,2004-04-02,6.676
A United Kingdom,347026,2016-11-25,6.676
The Wave,336882,2015-08-28,6.7
Ms .45,22171,1981-04-24,6.7
Yes Man,10201,2008-12-09,6.675
Planet Terror,1992,2007-04-06,6.675
Footloose,1788,1984-02-17,6.675
The Island,1635,2005-07-21,6.7
Meet the Parents,1597,2000-10-06,6.675
The Good Liar,511322,2019-11-08,6.674
The Lego Movie 2: The Second Part,280217,2019-02-06,6.7
Flowers in the Attic,236399,2014-01-18,6.674
Shadow of the Vampire,10873,2000-05-15,6.7
Out of Sight,1389,1998-06-26,6.674
The Ring,565,2002-10-18,6.7
About a Boy,245,2002-04-26,6.7
Puncture,72432,2011-09-23,6.673
Mansfield Park,10399,1999-11-12,6.674
Teenage Mutant Ninja Turtles,1498,1990-03-30,6.7
Back to Black,998846,2024-04-11,6.676
Secret Society of Second Born Royals,621870,2020-09-25,6.672
Glass,450465,2019-01-16,6.7
Zulu,185567,2013-12-04,6.672
Insidious: Chapter 2,91586,2013-09-12,6.672
Charlie Bartlett,8669,2008-02-22,6.7
Scream,646385,2022-01-12,6.7
Unknown,48138,2011-02-16,6.671
Society,22244,1989-05-13,6.7
Tristan & Isolde,9044,2006-04-07,6.671
Entangled,660833,2021-11-12,6.67
The Odyssey,332794,2016-10-12,6.7
A Nightmare on Elm Street 3: Dream Warriors,10072,1987-02-27,6.7
Quigley Down Under,9588,1990-10-17,6.67
Fantastic Voyage,2161,1966-08-24,6.7
Martian Child,5126,2007-11-02,6.7
Eye for an Eye,574376,2019-08-30,6.668
Florence Foster Jenkins,315664,2016-05-06,6.7
Serial (Bad) Weddings,262391,2014-04-16,6.668
"Good Luck Charlie, It's Christmas!",81440,2011-12-02,6.7
The Powerpuff Girls Movie,59387,2002-07-03,6.668
Of Gods and Men,46332,2010-09-08,6.7
Banana Joe,11340,1982-03-24,6.7
The World According to Garp,11307,1982-08-13,6.7
The Lookout,8270,2007-03-09,6.7
Unfaithful,2251,2002-05-10,6.668
Empire of Light,814757,2022-12-09,6.667
Perfect Strangers,435126,2017-12-01,6.7
Comet,276908,2014-12-05,6.667
When the Game Stands Tall,232679,2014-08-22,6.667
22 Bullets,37645,2010-03-23,6.666
Better Watch Out,406994,2017-10-06,6.666
The Student and Mister Henri,360638,2015-10-07,6.666
The Brand New Testament,330764,2015-09-02,6.666
The Hunger,11654,1983-04-29,6.666
Smile,882598,2022-09-23,6.665
A Perfect Day,321751,2015-08-28,6.665
Geek Charming,81250,2011-11-11,6.665
Hysteria,75802,2011-06-06,6.7
Balto III: Wings of Change,34942,2004-04-14,6.7
Real Genius,14370,1985-08-07,6.665
The Ferpect Crime,9534,2004-09-10,6.7
The Hitchhiker's Guide to the Galaxy,7453,2005-04-28,6.665
Hairspray,2976,2007-07-19,6.665
Jarhead,25,2005-11-04,6.665
Fracchia The Human Beast,41610,1981-12-22,6.664
The First Great Train Robbery,11583,1978-12-14,6.668
A Good Year,9726,2006-09-09,6.7
The Entity,24740,1982-09-30,6.7
Red Joan,494974,2018-09-13,6.664
Uncle Drew,474335,2018-06-27,6.7
Fantozzi Against the Wind,41663,1980-11-13,6.661
Che: Part Two,8880,2008-12-12,6.7
No Reservations,3638,2007-06-15,6.661
Cronos,11655,1993-11-05,6.7
Boston Strangler,881164,2023-03-16,6.661
Elle,337674,2016-05-25,6.7
Pokémon Heroes,33875,2002-07-13,6.7
Purple Rain,13763,1984-07-27,6.659
Frozen River,10183,2008-03-26,6.659
Beautiful Girls,9283,1996-02-09,6.659
Pig,635731,2021-07-16,6.658
Little White Lies 2,542830,2019-05-01,6.7
The Year of Living Dangerously,11541,1982-12-17,6.658
Kate,597891,2021-09-10,6.7
Storks,332210,2016-09-22,6.7
"Me, Myself and Mum",190880,2013-11-20,6.657
The Spectacular Now,157386,2013-08-02,6.657
Falling in Love,52744,1984-11-21,6.7
Keeping Mum,9687,2005-12-02,6.7
The Longest Yard,9291,2005-05-27,6.657
Backdraft,2924,1991-05-24,6.7
Enough,1957,2002-05-21,6.7
Russian Dolls,1826,2005-06-15,6.657
The Royal Treatment,790142,2022-01-20,6.656
Marry Me,615904,2022-02-09,6.656
Ma Rainey's Black Bottom,615667,2020-11-25,6.657
Those Who Wish Me Dead,578701,2021-05-05,6.656
The Way Back,529485,2020-03-05,6.656
Wildlife,417812,2018-09-23,6.656
Their Finest,340101,2017-02-19,6.7
Ninja: Shadow of a Tear,180894,2013-12-27,6.656
Friends with Benefits,50544,2011-07-21,6.656
Inferno,16395,1980-02-07,6.661
River of No Return,1936,1954-04-30,6.7
Sex and Lucía,1364,2001-08-24,6.656
Tron,97,1982-07-09,6.7
Return,839321,2008-01-01,6.7
The Mountain Between Us,290512,2017-10-05,6.656
Barbie Presents: Thumbelina,16418,2009-02-24,6.7
Blood & Gold,1098110,2023-04-21,6.652
Keep an Eye Out,474331,2018-07-04,6.654
Foxcatcher,87492,2014-11-14,6.654
Ninja Assassin,22832,2009-09-29,6.7
Empire Records,13531,1995-09-22,6.7
Elf,10719,2003-11-07,6.655
Burn After Reading,4944,2008-09-05,6.7
Thunderball,660,1965-12-11,6.656
Fantastic Beasts: The Secrets of Dumbledore,338953,2022-04-06,6.653
The Guest,241848,2014-09-05,6.7
Crimson Peak,201085,2015-10-13,6.7
Pirates of the Caribbean: Dead Men Tell No Tales,166426,2017-05-23,6.653
The Girl Next Door,15356,2007-07-19,6.7
Quick Change,10729,1990-07-13,6.7
Brother Bear 2,10010,2006-08-17,6.653
Three Kings,6415,1999-09-27,6.653
2010,4437,1984-12-06,6.7
Emma,3573,1996-08-02,6.653
Ambulance,763285,2022-03-16,6.7
Princess Protection Program,19458,2009-06-08,6.7
Alpha Dog,7457,2006-01-27,6.7
Life,6522,1999-04-16,6.7
Stoker,86825,2013-02-28,6.651
Oblivion,75612,2013-04-10,6.651
The Loved Ones,46420,2010-08-04,6.651
Young Guns,11967,1988-02-17,6.7
UHF,11959,1989-07-21,6.7
The Replacements,10393,2000-08-11,6.7
Wasabi,2110,2001-10-31,6.651
Kursk,401200,2018-11-07,6.7
Hot Summer Nights,347866,2018-07-26,6.651
Julia's Eyes,52274,2010-08-16,6.7
Batman: Gotham by Gaslight,471474,2018-01-12,6.649
How I Live Now,162215,2013-09-10,6.65
Muppet Treasure Island,10874,1996-02-16,6.649
Crank,1948,2006-08-31,6.6
The Harder They Fall,618162,2021-10-22,6.648
Big Bad Wolves,171540,2013-04-21,6.648
Diary of a Wimpy Kid: Rodrick Rules,60307,2011-03-25,6.648
Antichrist,17609,2009-05-20,6.6
Help! I'm a Fish,12609,2000-10-06,6.6
Dave,11566,1993-05-07,6.6
Bully,9517,2001-07-13,6.648
One Hour Photo,9357,2002-08-21,6.648
Overboard,454619,2018-04-13,6.6
Clear and Present Danger,9331,1994-08-03,6.6
Happy Death Day,440021,2017-10-12,6.6
Bad Boys II,8961,2003-07-18,6.646
The Grand Seduction,209185,2014-05-30,6.641
Alan Partridge: Alpha Papa,177699,2013-07-24,6.641
The Words,83686,2012-09-07,6.641
Lilo & Stitch 2: Stitch Has a Glitch,20760,2005-01-22,6.641
Veronica Guerin,10629,2003-07-11,6.6
Happy Gilmore,9614,1996-02-16,6.6
Bull Durham,287,1988-06-15,6.6
Aquaman and the Lost Kingdom,572802,2023-12-20,6.639
Monos,417466,2019-08-15,6.64
Batman: Mystery of the Batwoman,21683,2003-10-21,6.64
Tuck Everlasting,13768,2002-10-11,6.64
Cypher,10133,2002-10-01,6.64
Orphan: First Kill,760161,2022-07-27,6.642
All Is Lost,152747,2013-08-23,6.639
Uncle Boonmee Who Can Recall His Past Lives,38368,2010-06-25,6.6
Repo Man,13820,1984-03-02,6.6
Longlegs,1226578,2024-07-10,6.6
The Wizard of Lies,363992,2017-05-11,6.638
She's Gotta Have It,27995,1986-08-08,6.6
Rugrats in Paris: The Movie,16340,2000-11-17,6.6
Alice in Wonderland,12155,2010-03-03,6.639
The Man in the Iron Mask,9313,1998-03-12,6.6
The Spiderwick Chronicles,8204,2008-02-14,6.638
National Treasure,2059,2004-11-19,6.638
Resident Evil,1576,2002-03-15,6.638
Always Be My Maybe,513576,2019-05-31,6.6
The Purge: Anarchy,238636,2014-07-17,6.637
Jack Reacher,75780,2012-12-20,6.637
Damage,11012,1992-12-02,6.6
Little Italy,523773,2018-08-24,6.636
Trolls,136799,2016-10-13,6.6
Traitor,13291,2008-08-23,6.6
Beavis and Butt-Head Do America,3179,1996-12-20,6.6
Joy Ride,864168,2023-06-22,6.6
Z,623520,2019-09-19,6.635
A Simple Favor,484247,2018-08-29,6.6
Behind the Candelabra,119675,2013-05-26,6.635
Heaven Can Wait,12185,1978-06-28,6.6
It Could Happen to You,10660,1994-07-29,6.6
One Eight Seven,6072,1997-07-29,6.635
Stillwater,616651,2021-07-29,6.634
The Champion,589524,2019-04-18,6.634
Stuber,513045,2019-07-11,6.634
Godard Mon Amour,416186,2017-06-24,6.634
Populaire,136403,2012-11-27,6.6
Pineapple Express,10189,2008-08-06,6.634
Dumb and Dumber,8467,1994-12-16,6.633
Gummo,18415,1997-10-17,6.6
Grumpy Old Men,11520,1993-12-25,6.6
Crazy/Beautiful,10691,2001-06-29,6.6
Retribution,762430,2023-08-23,6.6
The Wild Goose Lake,575428,2019-12-06,6.6
The Skeleton Twins,244772,2014-06-05,6.632
Reversal of Fortune,38718,1990-10-19,6.6
Cloudy with a Chance of Meatballs,22794,2009-09-17,6.632
Away We Go,19255,2009-06-05,6.632
U Turn,10155,1997-10-03,6.632
Dead Men Don't Wear Plaid,9442,1982-05-21,6.6
Breach,4169,2007-02-12,6.632
Return to Me,2621,2000-04-07,6.6
The Hunt,514847,2020-03-11,6.6
Dora and the Lost City of Gold,499701,2019-08-08,6.634
Spring,241855,2014-10-08,6.631
Pet Sematary,8913,1989-04-21,6.631
In the Realm of the Senses,5879,1976-09-15,6.6
Heartbreaker,41211,2010-03-17,6.631
Thirteen,11023,2003-08-20,6.6
Great Expectations,9410,1998-01-30,6.6
The Holiday Calendar,555850,2018-11-02,6.629
Husband & Wife,445793,2017-04-13,6.6
Night Hunter,441282,2019-08-29,6.629
Dilwale,370665,2015-12-18,6.6
Valerian and the City of a Thousand Planets,339964,2017-07-20,6.629
Live Free or Die Hard,1571,2007-06-20,6.629
Swallow,586461,2020-01-15,6.628
Man of Steel,49521,2013-06-12,6.6
The Four Feathers,9093,2002-09-08,6.6
Smile 2,1100782,2024-10-16,6.63
The Cursed,630392,2021-07-28,6.627
The Immortal,599845,2019-12-05,6.6
The Cabin in the Woods,22970,2012-04-12,6.6
The Ice Age Adventures of Buck Wild,774825,2022-01-28,6.6
UglyDolls,454458,2019-05-01,6.626
Our Souls at Night,433252,2017-09-29,6.6
Infinitely Polar Bear,244539,2014-01-18,6.626
Tinker Tailor Soldier Spy,49517,2011-09-16,6.6
Taxidermia,15742,2006-08-23,6.6
Sweet Girl,619297,2021-08-18,6.6
The Shiny Shrimps,532938,2019-05-08,6.624
The Crush,33408,1993-04-02,6.624
Body of Lies,12113,2008-10-09,6.624
The Skeleton Key,9913,2005-07-29,6.624
Things We Lost in the Fire,3877,2007-09-26,6.624
Street Kings,1266,2008-04-10,6.624
Hours,172803,2013-12-04,6.623
Trance,68727,2013-03-27,6.623
Colombiana,62835,2011-07-27,6.623
Demons,14029,1985-10-04,6.6
Tigerland,10687,2000-10-06,6.6
Cocoon,10328,1985-06-21,6.6
The Quiet Earth,10176,1985-09-08,6.6
Short Circuit,2605,1986-05-09,6.6
The Tender Bar,727293,2021-12-17,6.622
Fireworks,431819,2017-08-18,6.6
Space Pirate Captain Harlock,192577,2013-09-07,6.6
Something's Gotta Give,6964,2003-12-12,6.621
Ben Is Back,492452,2018-12-05,6.617
Jungle,390062,2017-06-27,6.619
Clouds of Sils Maria,246860,2014-08-20,6.621
The Grandmaster,44865,2013-01-10,6.6
Kinsey,11184,2004-09-04,6.6
The Chronicles of Narnia: Prince Caspian,2454,2008-05-15,6.621
A Haunting in Venice,945729,2023-09-13,6.621
My Name Is Vendetta,873126,2022-11-30,6.6
Veronica Mars,177494,2014-03-13,6.62
Buried,26388,2010-09-24,6.6
May December,839369,2023-11-16,6.6
House of Usher,23439,1960-07-20,6.6
Caddyshack,11977,1980-07-25,6.619
Miss Potter,13967,2006-12-03,6.618
The Burning Plain,12165,2008-11-07,6.6
The Rescuers Down Under,11135,1990-11-16,6.6
Gold,334524,2016-02-03,6.6
Exotica,20156,1994-11-30,6.6
Athena,852046,2022-09-09,6.616
The Wonder,823766,2022-11-02,6.616
Vengeance,683340,2022-07-29,6.616
Martha Marcy May Marlene,50837,2011-10-21,6.616
Pulse,27324,2001-02-03,6.6
Candyman,9529,1992-10-16,6.6
The Fabulous Baker Boys,10875,1989-10-13,6.6
Love in the Time of Cholera,6639,2007-10-04,6.6
The Party,166,1980-12-17,6.615
The Angel,468362,2018-05-15,6.6
Popstar: Never Stop Never Stopping,341012,2016-06-03,6.614
The Last Starfighter,11884,1984-07-13,6.6
99 Francs,8827,2007-09-26,6.614
Monte Carlo,59860,2011-07-01,6.613
Risky Business,9346,1983-08-05,6.613
Bringing Out the Dead,8649,1999-10-22,6.613
The Wandering Earth,535167,2019-02-05,6.6
A Christmas Prince,483104,2017-11-17,6.612
Benedetta,454527,2021-07-09,6.613
[REC]²,10664,2009-09-15,6.61
The Forbidden Kingdom,1729,2008-04-17,6.612
White God,267999,2014-06-12,6.611
This Is Where I Leave You,239678,2014-09-10,6.613
Point Blank,61404,2010-11-08,6.6
Lost Bullet,706503,2020-06-19,6.61
Madagascar 3: Europe's Most Wanted,80321,2012-06-06,6.61
The Addams Family,481084,2019-10-10,6.609
Bleach,420426,2018-07-20,6.609
Kill the Messenger,245916,2014-10-09,6.609
Ruthless People,12151,1986-06-26,6.6
28 Weeks Later,1562,2007-04-26,6.61
Oxygen,471498,2021-05-12,6.608
Dumbo,329996,2019-03-27,6.609
The Hunter,70954,2011-10-06,6.608
Swimming with Sharks,20306,1994-09-10,6.6
Troll,736526,2022-12-01,6.609
Micmacs,27936,2009-10-28,6.607
Conspiracy Theory,8834,1997-08-08,6.6
The Rat Catcher,1172674,2023-09-28,6.606
Brittany Runs a Marathon,529862,2019-08-23,6.6
The Collector,21407,2009-07-09,6.606
Old School,11635,2003-02-21,6.6
Speak No Evil,833339,2022-03-17,6.606
Fire in the Sky,15613,1993-03-12,6.6
Goya's Ghosts,11515,2006-11-08,6.6
New Jack City,10952,1991-03-08,6.605
Stay,8066,2005-09-24,6.605
A Most Violent Year,241239,2014-12-31,6.604
The Kids Are All Right,39781,2010-07-09,6.6
Noelle,454467,2019-11-12,6.603
The Eagle Has Landed,11372,1976-12-24,6.6
The Sugarland Express,5121,1974-03-31,6.6
Piggy,848058,2022-10-07,6.602
Beast,760741,2022-08-11,6.6
Saint Maud,575776,2020-10-09,6.603
Radioactive,480857,2020-03-11,6.603
Dolittle,448119,2020-01-02,6.602
The ComDads,10484,1983-11-23,6.6
Fermat's Room,5595,2007-10-07,6.6
Girl with a Pearl Earring,3635,2003-12-12,6.6
Working Girl,3525,1988-12-20,6.602
Hands of Stone,184341,2016-08-26,6.6
A Whole Life Ahead,51917,2008-03-28,6.601
Final Destination,9532,2000-03-17,6.602
The Final Countdown,8738,1980-01-31,6.601
There's Something About Mary,544,1998-07-15,6.6
Infinite,581726,2021-09-09,6.601
The Green Knight,559907,2021-07-29,6.6
Side Effects,109421,2013-02-07,6.6
Sea of Love,12150,1989-09-15,6.601
Saw II,215,2005-10-28,6.599
45 Years,311291,2015-08-04,6.598
Double Jeopardy,10398,1999-09-24,6.598
EuroTrip,9352,2004-02-20,6.598
Reminiscence,579047,2021-08-18,6.596
Mine,345009,2016-10-06,6.6
Saint Seiya: Legend of Sanctuary,287590,2014-06-21,6.597
Hannah Montana: The Movie,18126,2009-04-10,6.6
Killer Klowns from Outer Space,16296,1988-05-27,6.6
The Pelican Brief,9944,1993-09-17,6.6
"Where'd You Go, Bernadette",405177,2019-08-16,6.6
The Heat,136795,2013-06-27,6.596
The Brothers Bloom,21755,2008-09-09,6.596
World's Greatest Dad,20178,2009-08-20,6.596
Flesh + Blood,12775,1985-08-30,6.6
"Me, Myself & Irene",2123,2000-06-22,6.596
Bright Star,29963,2009-09-18,6.595
Vampire Hunter D,9463,1985-12-21,6.6
The Exorcism of Emily Rose,8643,2005-09-09,6.6
Insidious: The Red Door,614479,2023-07-05,6.594
The Diary of a Teenage Girl,250124,2015-08-07,6.6
12,20714,2007-06-06,6.6
Happy-Go-Lucky,10503,2008-04-18,6.594
The Kid Detective,720755,2020-10-16,6.593
House of Gucci,644495,2021-11-24,6.593
I Care a Lot,601666,2021-02-19,6.593
The Nile Hilton Incident,428495,2017-06-19,6.6
Batman: The Killing Joke,382322,2016-07-24,6.6
Footloose,68817,2011-10-06,6.595
Australia,6972,2008-11-18,6.593
Jingle Jangle: A Christmas Journey,622855,2020-11-06,6.597
Annabelle: Creation,396422,2017-08-03,6.6
Mr. Mom,13105,1983-07-22,6.592
Brewster's Millions,11064,1985-05-22,6.6
My Best Friend's Wedding,8874,1997-06-19,6.592
Robin Hood: Men in Tights,8005,1993-07-28,6.592
The Finest Hours,300673,2016-01-27,6.593
You're Next,83899,2013-08-22,6.6
Welcome to the Rileys,31007,2010-10-29,6.591
Sunshine Cleaning,13090,2008-01-18,6.6
"New York, New York",12637,1977-06-21,6.6
Black Rain,4105,1989-09-22,6.6
Nothing to Hide,487476,2018-10-17,6.6
Ender's Game,80274,2013-10-24,6.591
Torn Curtain,5780,1966-07-15,6.6
Lethal Weapon 4,944,1998-07-10,6.59
License to Drive,13704,1988-07-06,6.589
The Long Kiss Goodnight,11412,1996-10-11,6.6
The Lord of the Rings,123,1978-11-15,6.6
Woody Woodpecker,462883,2017-10-05,6.588
Angel Has Fallen,423204,2019-08-21,6.588
Hanna,50456,2011-04-07,6.589
The Masque of the Red Death,25319,1964-06-24,6.6
The Lion King 1½,11430,2004-02-06,6.588
Strictly Ballroom,10409,1992-08-20,6.588
Hamlet,10264,1990-12-19,6.588
A Bay of Blood,5486,1971-09-08,6.6
The Ledge,924482,2022-02-18,6.587
Chaos Walking,412656,2021-02-24,6.588
Cruising,27958,1980-02-15,6.6
Scoop,512,2006-07-27,6.587
The Voyeurs,645710,2021-08-25,6.6
The Unholy,632357,2021-03-31,6.586
The Night House,547565,2021-07-15,6.586
The Art of Self-Defense,480001,2019-07-12,6.6
Barefoot,242042,2014-02-02,6.587
Bernie,92591,2012-04-27,6.586
Unstoppable,44048,2010-11-04,6.586
Elvira: Mistress of the Dark,5680,1988-09-30,6.586
The Brave One,4413,2007-09-12,6.586
The Gauntlet,17689,1977-12-17,6.6
Night at the Museum,1593,2006-12-20,6.585
Alibi.com 2,967585,2023-02-08,6.6
The Children Act,467936,2018-08-01,6.6
My First Time,113160,2012-01-18,6.6
American Pie,2105,1999-07-09,6.6
Star Trek III: The Search for Spock,157,1984-06-01,6.6
Sergio,653744,2020-01-28,6.584
Playing with Fire,554241,2019-11-08,6.6
Find Me Guilty,9950,2006-03-16,6.583
To Die For,577,1995-09-22,6.6
The Warriors Gate,413658,2016-11-18,6.579
Recess: School's Out,19405,2001-02-16,6.6
The Salton Sea,11468,2002-02-02,6.6
He's Just Not That Into You,10184,2009-02-06,6.581
Hot Shots!,9595,1991-07-31,6.6
The Curse of the Jade Scorpion,2779,2001-08-05,6.581
Underworld: Evolution,834,2006-01-12,6.582
The Measure of a Man,329712,2015-03-16,6.58
Chinese Puzzle,206408,2013-12-04,6.58
It Follows,270303,2015-02-04,6.579
Time Bandits,36819,1981-07-13,6.6
Appaloosa,12690,2008-09-19,6.579
Man Up,332340,2015-05-29,6.578
Housebound,253306,2014-09-04,6.578
Logan's Run,10803,1976-06-23,6.6
The Legend of Bagger Vance,4958,2000-11-02,6.6
Better Off Dead...,13667,1985-08-23,6.577
Silent Hill,588,2006-04-21,6.576
Alienoid: Return to the Future,626412,2024-01-10,6.6
Monster Hunter,458576,2020-12-03,6.6
Superman: Unbound,166076,2013-04-23,6.6
The Mask of Zorro,9342,1998-07-16,6.6
Ghostbusters II,2978,1989-06-16,6.576
I'm Thinking of Ending Things,500840,2020-08-28,6.6
Get the Gringo,80389,2012-03-15,6.575
The Poughkeepsie Tapes,38410,2007-04-27,6.6
Play Misty for Me,15393,1971-10-01,6.575
Sex and the City,4564,2008-05-12,6.575
The Fury of a Patient Man,411638,2016-09-09,6.6
Indiana Jones and the Dial of Destiny,335977,2023-06-25,6.574
The Swan Princess,22586,1994-11-18,6.6
City Hunter,11198,1993-01-01,6.573
On Her Majesty's Secret Service,668,1969-12-18,6.574
Alex Strangelove,511785,2018-04-16,6.573
Dragged Across Concrete,438674,2019-02-21,6.573
The Eye,10389,2002-05-09,6.6
Secret Window,1586,2004-03-12,6.6
You Only Live Twice,667,1967-06-13,6.574
They Cloned Tyrone,736769,2023-06-14,6.572
Fairy Tail: Dragon Cry,433422,2017-05-06,6.6
Lady Macbeth,410117,2016-12-12,6.572
Prometheus,70981,2012-05-30,6.572
Horrible Bosses,51540,2011-07-08,6.572
Seeking a Friend for the End of the World,88005,2012-06-22,6.571
Gantz,56832,2010-11-29,6.6
Kalifornia,10909,1993-06-24,6.6
Star Wars: Episode II - Attack of the Clones,1894,2002-05-15,6.57
The Art of Getting By,64678,2011-06-17,6.57
Pandorum,19898,2009-09-08,6.57
Silver Bullet,17898,1985-10-10,6.6
Kinds of Kindness,1029955,2024-05-30,6.569
The Protégé,645788,2021-08-19,6.6
Jolt,617502,2021-07-15,6.569
Pinocchio,413518,2019-12-19,6.569
Out of the Furnace,164457,2013-11-09,6.569
The Crucible,20539,1996-11-27,6.6
Halloween II,11281,1981-10-30,6.6
The Kindergarten Teacher,489927,2018-09-23,6.6
Puss in Boots,417859,2011-10-27,6.568
Walk Hard: The Dewey Cox Story,6575,2007-12-21,6.568
Through My Window: Across the Sea,988078,2023-06-23,6.571
When We First Met,433310,2018-02-09,6.568
French Fried Vacation,11183,1978-11-11,6.567
Austin Powers: International Man of Mystery,816,1997-05-02,6.567
Orion and the Dark,1139829,2024-02-01,6.566
From the Land of the Moon,376166,2016-10-19,6.566
The Grey,75174,2012-01-26,6.6
Big Stan,13161,2007-11-03,6.566
A Cinderella Story,11247,2004-07-16,6.6
F/X,9873,1986-02-07,6.6
Ocean's Twelve,163,2004-12-09,6.566
Greta,471506,2019-02-28,6.566
Return of the Living Dead III,28260,1993-10-01,6.6
The Place Promised in Our Early Days,12924,2004-11-20,6.6
The Last Word,396810,2017-03-03,6.6
The Debt,48289,2010-09-30,6.6
Hitch,8488,2005-02-11,6.564
Titan A.E.,7450,2000-06-16,6.564
Ace Ventura: Pet Detective,3049,1994-02-04,6.565
Dead Calm,10493,1989-04-07,6.562
Freaky,551804,2020-11-12,6.561
Super Troopers,39939,2001-02-15,6.561
Sliding Doors,10215,1998-04-23,6.6
Reality Bites,2788,1994-02-18,6.561
Brexit: The Uncivil War,536176,2019-01-19,6.6
Mary Queen of Scots,457136,2018-12-07,6.562
Alice Through the Looking Glass,241259,2016-05-25,6.56
Leroy & Stitch,21316,2006-06-23,6.6
The Great Raid,13922,2005-08-12,6.56
The Howling,11298,1981-01-21,6.6
James and the Giant Peach,10539,1996-04-12,6.6
Over the Hedge,7518,2006-05-17,6.561
Wolfs,877817,2024-09-20,6.559
Hitchcock,112336,2012-11-22,6.559
Evil Dead,109428,2013-04-05,6.559
Just Wright,38093,2010-05-14,6.559
Homeward Bound II: Lost in San Francisco,25059,1996-03-08,6.6
A Night at the Roxbury,9429,1998-10-01,6.6
Hunting & Gathering,2882,2007-03-21,6.559
Love Lies Bleeding,948549,2024-03-07,6.559
The Vast of Night,565743,2019-06-01,6.558
Inherent Vice,171274,2014-12-12,6.558
"I Love You, Man",16538,2009-03-20,6.558
Water Lilies,10818,2007-05-17,6.6
Igby Goes Down,9685,2002-09-13,6.6
Flyboys,9664,2006-09-22,6.558
Outbreak,6950,1995-03-10,6.558
Thanksgiving,1071215,2023-11-16,6.551
Solo: A Star Wars Story,348350,2018-05-15,6.557
Step Brothers,12133,2008-07-25,6.557
Hamburger Hill,10652,1987-08-07,6.557
Star Wars: Episode I - The Phantom Menace,1893,1999-05-19,6.557
You Were Never Really Here,398181,2017-11-08,6.6
Cold in July,244509,2014-05-23,6.6
Trust,44945,2010-09-10,6.556
The Last Man on Earth,21159,1964-05-06,6.556
Romper Stomper,10412,1992-03-05,6.556
The Legacy of the Bones,613099,2019-12-05,6.555
Halloween,424139,2018-10-18,6.555
Red Tails,72431,2012-01-19,6.555
The Nutty Professor,18331,1963-06-04,6.6
High School Musical,10947,2006-01-20,6.555
Pirates of the Caribbean: On Stranger Tides,1865,2011-05-15,6.555
Magic Mike's Last Dance,906221,2023-02-09,6.555
The Killer,800158,2023-10-25,6.553
The Giver,227156,2014-08-13,6.554
High School Musical 3: Senior Year,11887,2008-10-11,6.6
The Limey,10388,1999-10-08,6.6
It’s the Law,435921,2017-01-19,6.553
I Don't Feel at Home in This World Anymore,425591,2017-01-19,6.553
Blade II,36586,2002-03-22,6.553
Spun,12079,2003-02-07,6.553
Spectre,206647,2015-10-26,6.553
Drive Me Crazy,14429,1999-10-01,6.6
The Ref,10872,1994-03-09,6.6
The Pledge,5955,2001-01-19,6.552
The East,87499,2013-05-31,6.551
The Birth of a Nation,339408,2016-09-09,6.5
